People Assigned,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
HANDGUN (GROUP B),,,,,,,,,,,,
,,,,,,,,,,,,
Name,Organizations,Control AFSC,Duty AFSC,Rank,Scheduled Date,Last Completion Date,Status,Qual Expiration Date,Qual Status,User Assigned,Do Not Schedule,Licensed
"Alsop, Sophie",960 AIRBORNE AIR CTRL SQ FFDFP0,,,AMN,,26 Apr 2021,CURRENT,30 Apr 2022,QUALIFIED,Y,N,N
"Chapman, Neil",960 AIRBORNE AIR CTRL SQ FFDFP0,,,,,29 Mar 2021,CURRENT,31 Mar 2022,EXPERT,Y,N,N
"Churchill, Olivia",960 AIRBORNE AIR CTRL SQ FFDFP0,,,SMSgt,,22 Mar 2021,CURRENT,31 Mar 2022,QUALIFIED,Y,N,N
"Clark, Joshua",960 AIRBORNE AIR CTRL SQ FFDFP0,,,AB,,13 Aug 2019,OVERDUE,31 Aug 2020,UNQUALIFIED,Y,N,N
"Hart, Anthony",960 AIRBORNE AIR CTRL SQ FFDFP0,,,,,,OVERDUE,,UNQUALIFIED,Y,N,N
"Hart, Grace",960 AIRBORNE AIR CTRL SQ FFDFP0,1A351I,,MSgt,,25 May 2021,CURRENT,31 May 2022,QUALIFIED,Y,N,N
"Jones, Stewart",960 AIRBORNE AIR CTRL SQ FFDFP0,,,SrA,,24 May 2021,CURRENT,31 May 2022,QUALIFIED,Y,N,N
"Lyman, Alexander",960 AIRBORNE AIR CTRL SQ FFDFP0,1A331,1A331,SSgt,,26 Apr 2021,CURRENT,30 Apr 2022,EXPERT,Y,N,N
"Lyman, Julian",960 AIRBORNE AIR CTRL SQ FFDFP0,1A351,,AB,,07 Jun 2021,CURRENT,30 Jun 2022,QUALIFIED,Y,N,N
"McLean, Adrian",960 AIRBORNE AIR CTRL SQ FFDFP0,K1A351I,,CMSgt,,11 Jan 2019,OVERDUE,,UNQUALIFIED,Y,N,N
"Mitchell, Justin",960 AIRBORNE AIR CTRL SQ FFDFP0,,,A1C,,19 Apr 2021,CURRENT,,UNQUALIFIED,Y,N,N
"Morgan, Christian",960 AIRBORNE AIR CTRL SQ FFDFP0,,,SSgt,,22 Mar 2021,CURRENT,,UNQUALIFIED,Y,N,N
"Murray, Keith",960 AIRBORNE AIR CTRL SQ FFDFP0,,,,,02 Mar 2020,OVERDUE,31 Mar 2021,UNQUALIFIED,Y,N,N
"Smith, John",960 AIRBORNE AIR CTRL SQ FFDFP0,,,A1C,,24 Feb 2020,OVERDUE,28 Feb 2021,UNQUALIFIED,Y,N,N
"Thomson, Katherine",960 AIRBORNE AIR CTRL SQ FFDFP0,1A351,,MSgt,,02 Mar 2020,OVERDUE,31 Mar 2021,UNQUALIFIED,Y,N,N
"random, person",960 AIRBORNE AIR CTRL SQ FFDFP0,,,AB,,17 Oct 2018,OVERDUE,,UNQUALIFIED,Y,N,N
