PAS Description,Course Title,Last Name,First Name,Completion Date
960 AACS,TFAT - Cyber Awareness Challenge,ALSOP,SOPHIE,4/23/2021
960 AACS,TFAT - Cyber Awareness Challenge,ALSOP,SOPHIE,
960 AACS,TFAT - Cyber Awareness Challenge,CHAPMAN,NEIL,
960 AACS,TFAT - Cyber Awareness Challenge,CHAPMAN,NEIL,4/23/2021
960 AACS,TFAT - Cyber Awareness Challenge,CHURCHILL,OLIVIA,6/17/2021
960 AACS,TFAT - Cyber Awareness Challenge,CHURCHILL,OLIVIA,
960 AACS,TFAT - Cyber Awareness Challenge,CLARK,JOSHUA,6/10/2021
960 AACS,TFAT - Cyber Awareness Challenge,CLARK,JOSHUA,
960 AACS,TFAT - Cyber Awareness Challenge,HART,ANTHONY,
960 AACS,TFAT - Cyber Awareness Challenge,HART,ANTHONY,8/31/2020
960 AACS,TFAT - Cyber Awareness Challenge,HART,GRACE,2/5/2021
960 AACS,TFAT - Cyber Awareness Challenge,JONES,STEWART,
960 AACS,TFAT - Cyber Awareness Challenge,JONES,STEWART,2/3/2021
960 AACS,TFAT - Cyber Awareness Challenge,LYMAN,ALEXANDER,
960 AACS,TFAT - Cyber Awareness Challenge,LYMAN,ALEXANDER,1/22/2021
960 AACS,TFAT - Cyber Awareness Challenge,LYMAN,JULIAN,
960 AACS,TFAT - Cyber Awareness Challenge,LYMAN,JULIAN,1/15/2021
960 AACS,TFAT - Cyber Awareness Challenge,MCLEAN,ADRIAN,
960 AACS,TFAT - Cyber Awareness Challenge,MCLEAN,ADRIAN,
960 AACS,TFAT - Cyber Awareness Challenge,MITCHELL,JUSTIN,11/9/2020
960 AACS,TFAT - Cyber Awareness Challenge,MITCHELL,JUSTIN,1/19/2021
960 AACS,TFAT - Cyber Awareness Challenge,MORGAN,CHRISTIAN,
960 AACS,TFAT - Cyber Awareness Challenge,MORGAN,CHRISTIAN,
960 AACS,TFAT - Cyber Awareness Challenge,MURRAY,KEITH,3/5/2021
960 AACS,TFAT - Cyber Awareness Challenge,SMITH,JOHN,6/9/2020
960 AACS,TFAT - Cyber Awareness Challenge,SMITH,JOHN,
960 AACS,TFAT - Cyber Awareness Challenge,THOMSON,KATHERINE,3/5/2021
960 AACS,TFAT - Cyber Awareness Challenge,THOMSON,KATHERINE,
960 AACS,TFAT - Cyber Awareness Challenge,UNDERWOOD,JULIAN,
960 AACS,TFAT - Cyber Awareness Challenge,UNDERWOOD,JULIAN,10/7/2020
